#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.95        1.95           0
           2     1.94998     1.94999 6.21187e-06
           3     1.94993     1.94997 1.72273e-05
           4     1.94984     1.94994 3.07006e-05
           5     1.94972     1.94989 4.62561e-05
           6     1.94956     1.94984 6.36498e-05
           7     1.94937     1.94977 8.27106e-05
           8     1.94914     1.94969 0.000103311
           9     1.94888      1.9496 0.000125354
          10     1.94858      1.9495 0.000148759
          11     1.94825     1.94939 0.000173465
          12     1.94788     1.94926  0.00019942
          13     1.94747     1.94912 0.000226581
          14     1.94703     1.94897 0.000254912
          15     1.94656     1.94881 0.000284386
          16     1.94604     1.94864 0.000314978
          17     1.94549     1.94845 0.000346669
          18      1.9449     1.94826 0.000379443
          19     1.94428     1.94805 0.000413286
          20     1.94361     1.94783 0.000448191
          21     1.94291     1.94759 0.000484149
          22     1.94217     1.94735 0.000521157
          23     1.94139     1.94709 0.000559212
          24     1.94056     1.94681 0.000598312
          25      1.9397     1.94653  0.00063846
          26      1.9388     1.94623 0.000679652
          27     1.93785     1.94592 0.000721882
          28     1.93686      1.9456 0.000765154
          29     1.93583     1.94526  0.00080948
          30     1.93476     1.94491 0.000854874
          31     1.93364     1.94455 0.000901345
          32     1.93247     1.94417 0.000948897
          33     1.93126     1.94378 0.000997529
          34        1.93     1.94337  0.00104726
          35      1.9287     1.94295   0.0010981
          36     1.92734     1.94252  0.00115005
          37     1.92594     1.94207  0.00120314
          38     1.92448     1.94161  0.00125738
          39     1.92297     1.94113   0.0013128
          40     1.92141     1.94064  0.00136941
          41      1.9198     1.94013  0.00142723
          42     1.91813     1.93961  0.00148629
          43      1.9164     1.93907   0.0015466
          44     1.91462     1.93851  0.00160818
          45     1.91277     1.93794  0.00167105
          46     1.91087     1.93735  0.00173524
          47     1.90891     1.93675  0.00180077
          48     1.90688     1.93612  0.00186766
          49     1.90479     1.93548  0.00193593
          50     1.90263     1.93483  0.00200562
          51     1.90041     1.93415  0.00207673
          52     1.89812     1.93346  0.00214931
          53     1.89576     1.93275  0.00222336
          54     1.89332     1.93202  0.00229893
          55     1.89082     1.93127  0.00237604
          56     1.88824      1.9305   0.0024547
          57     1.88558     1.92971  0.00253497
          58     1.88285      1.9289  0.00261684
          59     1.88004     1.92808  0.00270036
          60     1.87715     1.92723  0.00278556
          61     1.87418     1.92636  0.00287244
          62     1.87112     1.92547  0.00296105
          63     1.86798     1.92455  0.00305142
          64     1.86475     1.92362  0.00314356
          65     1.86143     1.92266  0.00323753
          66     1.85802     1.92168  0.00333333
          67     1.85452     1.92068    0.003431
          68     1.85092     1.91966  0.00353058
          69     1.84723     1.91861   0.0036321
          70     1.84344     1.91753  0.00373558
          71     1.83955     1.91643  0.00384105
          72     1.83555     1.91531  0.00394855
          73     1.83146     1.91416   0.0040581
          74     1.82726     1.91299  0.00416973
          75     1.82295     1.91179  0.00428346
          76     1.81854     1.91056  0.00439932
          77     1.81401     1.90931  0.00451734
          78     1.80938     1.90802  0.00463754
          79     1.80463     1.90672  0.00475994
          80     1.79977     1.90538  0.00488456
          81     1.79479     1.90401  0.00501143
          82      1.7897     1.90262  0.00514056
          83     1.78449      1.9012  0.00527198
          84     1.77916     1.89974   0.0054057
          85      1.7737     1.89826  0.00554174
          86     1.76813     1.89675  0.00568012
          87     1.76244      1.8952  0.00582085
          88     1.75662     1.89363  0.00596393
          89     1.75068     1.89202  0.00610939
          90     1.74461     1.89039  0.00625722
          91     1.73842     1.88872  0.00640743
          92      1.7321     1.88701  0.00656002
          93     1.72566     1.88528    0.006715
          94     1.71909     1.88351  0.00687236
          95      1.7124     1.88171   0.0070321
          96     1.70558     1.87987   0.0071942
          97     1.69864     1.87801  0.00735867
          98     1.69157      1.8761  0.00752547
          99     1.68438     1.87417  0.00769461
         100     1.67707      1.8722  0.00786604
         101     1.66964     1.87019  0.00803975
         102     1.66209     1.86815  0.00821571
         103     1.65443     1.86607  0.00839389
         104     1.64664     1.86397  0.00857426
         105     1.63875     1.86182  0.00875678
         106     1.63074     1.85964  0.00894139
         107     1.62263     1.85743  0.00912807
         108     1.61441     1.85517  0.00931676
         109     1.60609     1.85289   0.0095074
         110     1.59767     1.85057  0.00969995
         111     1.58915     1.84821  0.00989433
         112     1.58055     1.84582   0.0100905
         113     1.57185      1.8434   0.0102884
         114     1.56307     1.84094   0.0104879
         115     1.55421     1.83845   0.0106889
         116     1.54528     1.83592   0.0108915
         117     1.53627     1.83336   0.0110954
         118      1.5272     1.83076   0.0113007
         119     1.51806     1.82814   0.0115072
         120     1.50887     1.82548   0.0117148
         121     1.49963     1.82278   0.0119235
         122     1.49034     1.82006   0.0121331
         123     1.48101      1.8173   0.0123436
         124     1.47164     1.81451   0.0125549
         125     1.46225      1.8117   0.0127668
         126     1.45282     1.80885   0.0129793
         127     1.44338     1.80597   0.0131923
         128     1.43392     1.80306   0.0134056
         129     1.42446     1.80013   0.0136192
         130     1.41498     1.79717   0.0138329
         131     1.40552     1.79418   0.0140467
         132     1.39605     1.79116   0.0142604
         133      1.3866     1.78812   0.0144739
         134     1.37717     1.78505   0.0146872
         135     1.36776     1.78196   0.0149002
         136     1.35838     1.77885   0.0151126
         137     1.34903     1.77571   0.0153245
         138     1.33971     1.77255   0.0155357
         139     1.33044     1.76937   0.0157462
         140     1.32122     1.76617   0.0159558
         141     1.31205     1.76295   0.0161644
         142     1.30293     1.75971    0.016372
         143     1.29388     1.75645   0.0165784
         144     1.28489     1.75318   0.0167836
         145     1.27597     1.74988   0.0169874
         146     1.26713     1.74658   0.0171899
         147     1.25837     1.74326   0.0173908
         148     1.24969     1.73992   0.0175901
         149      1.2411     1.73657   0.0177878
         150     1.23259     1.73321   0.0179838
         151     1.22419     1.72984   0.0181779
         152     1.21588     1.72646   0.0183701
         153     1.20768     1.72307   0.0185603
         154     1.19959     1.71967   0.0187485
         155     1.19161     1.71626   0.0189345
         156     1.18374     1.71285   0.0191184
         157       1.176     1.70943      0.0193
         158     1.16837     1.70601   0.0194792
         159     1.16088     1.70258   0.0196561
         160     1.15352     1.69915   0.0198306
         161     1.14629     1.69571   0.0200025
         162      1.1392     1.69228   0.0201719
         163     1.13225     1.68884   0.0203386
         164     1.12545     1.68541   0.0205027
         165     1.11879     1.68197    0.020664
         166     1.11229     1.67854   0.0208225
         167     1.10595     1.67511   0.0209782
         168     1.09976     1.67169   0.0211311
         169     1.09374     1.66827    0.021281
         170     1.08788     1.66485   0.0214279
         171      1.0822     1.66145   0.0215718
         172     1.07668     1.65805   0.0217126
         173     1.07134     1.65466   0.0218504
         174     1.06618     1.65127    0.021985
         175      1.0612      1.6479   0.0221164
         176      1.0564     1.64454   0.0222446
         177     1.05178     1.64119   0.0223696
         178     1.04735     1.63786   0.0224913
         179     1.04311     1.63453   0.0226098
         180     1.03906     1.63122   0.0227249
